Season,Division,Conference,Record,Win %,Dual/Tourney/Plc
2025,Division I,Big Ten,0 - 0,0.00%,#11 / #10
2024,Division I,Big Ten,8 - 4,66.67%,#6 / #3   (3rd)
2023,Division I,Big Ten,11 - 4,73.33%,#9 / #7   (6th)
2022,Division I,Big Ten,12 - 1,92.31%,#3 / #2   (2nd)
2021,Division I,Big Ten,5 - 1,83.33%,#7 / #6   (5th)
2020,Division I,Big Ten,7 - 6,53.85%,#21 / #20
2019,Division I,Big Ten,13 - 1,92.86%,#4 / #5   (5th)
2018,Division I,Big Ten,11 - 3,78.57%,#3 / #3   (4th)
2017,Division I,Big Ten,8 - 7,53.33%,#17 / #11   (10th)
2016,Division I,Big Ten,13 - 3,81.25%,#11 / #11   (9th)
2015,Division I,Big Ten,7 - 7,50.00%,#14 / #16   (11th)
2014,Division I,Big Ten,11 - 4,73.33%,#9 / #11   (17th)
